Chris Paul,78,36,0.43,5.2,12.1,0.6,2.3,5.1,6,5.1,0.8,4.3,7.8,2.2,0.1,2.3,2.8,16.1,35,43,22.1,0.178,1
Deron Michael Williams,47,28.9,0.421,4.2,10.1,1.1,2.7,1.2,1.7,2.4,0.4,2,4.5,0.8,0.2,1.8,2.9,10.8,39,41,12.4,0.059,1
Danny Granger Jr.,17,22.6,0.462,2.8,6.1,0.4,1.2,1.5,1.9,4.9,1.7,3.2,1.2,0.7,0.8,1,2.7,7.5,39,39,14.7,0.139,1
David Lee,14,16.9,0.596,2,3.4,0,0,1.1,1.8,4.5,1.6,2.9,0.6,0.4,0.3,0.8,1.9,5.1,21,46,15.4,0.116,1
Andrew Bynum,0,7.3,0.402,0.7,1.8,0,0,0.2,0.6,1.7,0.7,1,0.2,0.1,0.5,0.4,1.2,1.6,29,17,7.4,0.007,1
Brandon Roy,55,35.4,0.456,6.1,13.4,1,2.6,3.5,4.2,4.4,1,3.4,4,1.2,0.2,2,2.4,16.8,23,34,18,0.114,1
LaMarcus Aldridge,22,22.1,0.503,3.8,7.6,0,0,1.3,1.8,5,2.3,2.7,0.4,0.3,1.2,0.7,3,9,24,39,17.1,0.118,1
Paul Millsap,1,18,0.525,2.5,4.9,0,0,1.7,2.5,5.2,2.2,2.9,0.8,0.8,0.9,1.1,2.9,6.8,51,31,17.6,0.153,1
Rajon Rondo,25,23.5,0.418,2.4,5.8,0.1,0.4,1.5,2.4,3.7,0.9,2.8,3.8,1.6,0.1,1.8,2.3,6.4,21,57,13.1,0.064,1
Kyle Lowry,0,17.5,0.368,1.4,3.8,0.3,0.8,2.5,2.8,3.1,1.2,1.9,3.2,1.4,0.1,1.2,2,5.6,2,8,18.3,0.148,1
Kevin Durant,80,34.6,0.43,7.3,17.1,0.7,2.6,4.9,5.6,4.4,0.9,3.5,2.4,1,0.9,2.9,1.5,20.3,19,61,15.8,0.04,1
Al Horford,77,31.4,0.499,4.1,8.2,0,0.1,1.9,2.6,9.7,3.1,6.6,1.5,0.7,0.9,1.7,3.3,10.1,37,44,14.7,0.103,1
Joakim Noah,31,20.7,0.482,2.4,5,0,0,1.8,2.6,5.6,2.4,3.3,1.1,0.9,0.9,1.2,2.3,6.6,31,43,15.5,0.12,1
Marc Gasol,75,30.7,0.53,4.3,8.1,0,0,3.4,4.6,7.4,2.5,4.9,1.7,0.8,1.1,2,3.2,11.9,24,58,16.7,0.121,1
Derrick Rose,80,37,0.475,7.1,14.9,0.2,0.9,2.4,3.1,3.9,1.2,2.7,6.3,0.8,0.2,2.5,1.5,16.8,40,41,16,0.078,1
Russell Westbrook,65,32.5,0.398,5.3,13.4,0.4,1.6,4.3,5.2,4.9,2.2,2.7,5.3,1.3,0.2,3.3,2.3,15.3,23,59,15.2,0.035,1
Brook Lopez,75,30.5,0.531,5.5,10.3,0,0,2.1,2.6,8.1,2.7,5.4,1,0.5,1.8,1.8,3.1,13,34,48,17.9,0.112,1
Kevin Love,37,25.3,0.459,3.9,8.5,0,0.2,3.3,4.1,9.1,3.4,5.7,1,0.4,0.6,1.5,2.5,11.1,24,57,18.3,0.124,1
Roy Hibbert,42,14.4,0.471,2.8,6,0,0,1.4,2.1,3.5,1.6,1.8,0.7,0.3,1.1,0.8,3.1,7.1,29,41,16.1,0.102,1
DeAndre Jordan,13,14.5,0.633,1.8,2.8,0,0,0.8,2.1,4.5,1.4,3.1,0.2,0.2,1.1,0.8,1.8,4.3,11,42,14.1,0.079,1
Stephen Curry,77,36.2,0.462,6.6,14.3,2.1,4.8,2.2,2.5,4.5,0.6,3.9,5.9,1.9,0.2,3.1,3.2,17.5,25,55,16.3,0.077,1
James Harden,0,22.9,0.403,3.1,7.6,1.2,3.3,2.6,3.2,3.2,0.6,2.6,1.8,1.1,0.3,1.4,2.6,9.9,47,29,14,0.124,1
DeMar DeRozan,65,21.6,0.498,3.3,6.6,0.1,0.2,1.9,2.5,2.9,0.9,2,0.7,0.6,0.2,0.8,2.3,8.6,36,41,12.5,0.066,1
Jrue Holiday,51,24.2,0.442,3.2,7.1,0.8,2.2,0.9,1.2,2.6,0.8,1.8,3.8,1.1,0.2,2.1,2.1,8,24,49,12.3,0.032,1
Jeff Teague,3,10.1,0.396,1.3,3.2,0.1,0.5,0.6,0.7,0.9,0.1,0.9,1.7,0.5,0.2,0.7,1.2,3.2,50,21,11,0.042,1
Blake Griffin,82,38,0.506,8.5,16.8,0.1,0.3,5.4,8.5,12.4,3.3,8.8,3.8,0.8,0.5,2.7,3.1,22.5,32,50,21.9,0.152,1
John Wall,64,37.8,0.409,5.8,14.1,0.5,1.7,4.4,5.7,4.6,0.5,4.1,8.3,1.8,0.5,3.8,2.5,16.4,19,50,15.8,0.041,1
DeMarcus Cousins,62,28.5,0.43,5.3,12.4,0,0.2,3.4,5,8.6,2.7,6,2.5,1,0.8,3.3,4.1,14.1,23,58,14.6,0.022,1
Paul George,19,20.7,0.453,2.9,6.5,0.7,2.3,1.3,1.7,3.7,0.6,3.1,1.1,1,0.4,1.1,2.1,7.8,29,32,13,0.091,1
Gordon Hayward,17,16.9,0.485,2,4.1,0.5,1,1,1.3,1.9,0.6,1.4,1.1,0.4,0.3,1,1.5,5.4,33,39,10.7,0.048,1
Kyrie Irving,51,30.5,0.469,6.9,14.6,1.4,3.6,3.4,3.8,3.7,0.9,2.9,5.4,1.1,0.4,3.1,2.2,18.5,17,34,21.4,0.125,1
Klay Thompson,29,24.4,0.443,4.8,10.9,1.7,4.1,1.2,1.4,2.4,0.4,2.1,2,0.7,0.3,1.6,2.3,12.5,23,43,14.9,0.05,1
Isaiah Thomas,37,25.5,0.448,3.9,8.8,1.3,3.4,2.4,2.8,2.6,0.7,1.8,4.1,0.8,0.1,1.6,1.9,11.5,22,43,17.6,0.124,1
Kawhi Leonard,39,24,0.493,3.1,6.3,0.6,1.7,1.1,1.4,5.1,1.6,3.5,1.1,1.3,0.4,0.7,1.4,7.9,49,15,16.6,0.171,1
Jimmy Butler,0,8.5,0.405,0.8,1.9,0,0.3,1,1.3,1.3,0.5,0.8,0.3,0.3,0.1,0.3,0.5,2.6,30,12,12.5,0.144,1
Damian Lillard,82,38.6,0.429,6.7,15.7,2.3,6.1,3.3,3.9,3.1,0.5,2.6,6.5,0.9,0.2,3,2.1,19,33,49,16.4,0.088,1
Anthony Davis,60,28.9,0.516,5.5,10.6,0,0.1,2.6,3.5,8.2,2.6,5.6,1,1.2,1.8,1.4,2.5,13.5,23,41,21.7,0.159,1
Andre Drummond,10,20.7,0.608,3.5,5.7,0,0,1,2.7,7.6,2.8,4.8,0.5,1,1.6,1,2.4,7.9,23,37,21.6,0.172,1
Draymond Green,1,13.4,0.327,1.1,3.3,0.2,0.8,0.6,0.7,3.3,0.7,2.6,0.7,0.5,0.3,0.6,2,2.9,45,34,7.1,0.028,1
Charlie Villanueva,36,29.1,0.463,5.4,11.6,0.9,2.6,1.4,2,6.4,2.2,4.2,1.1,0.7,0.8,1.2,3,13,26,55,16.4,0.079,0
Channing Frye,14,24.2,0.477,4.7,9.8,0,0.1,2.9,3.5,5.8,2.1,3.6,0.8,0.5,0.7,1.5,3.1,12.3,19,46,18.1,0.108,0
Raymond Felton,54,30.1,0.391,4.3,11,1.2,3.4,2,2.8,3.3,1,2.4,5.6,1.3,0.1,2.3,2.3,11.9,26,54,14.2,0.051,0
Salim Stoudamire,1,20.3,0.415,3.3,8.1,1.3,3.5,1.6,1.8,1.9,0.2,1.7,1.2,0.4,0,1.3,1.9,9.7,20,41,12.5,0.046,0
Andrew Bogut,77,28.6,0.533,3.9,7.4,0,0,1.5,2.4,7,2.3,4.7,2.3,0.6,0.8,1.5,3.2,9.4,40,42,15.2,0.113,0
Nate Robinson,26,21.4,0.407,3.2,7.8,0.8,2,2.1,2.8,2.3,0.8,1.5,2,0.8,0,1.6,2.8,9.3,21,51,12.6,0.046,0
Bracey Wright,0,19.3,0.412,3,7.3,0.9,2.4,2,2.3,2.6,0.4,2.1,0.7,0.1,0,1.1,1.1,8.9,1,6,0.7,-0.062,0
Luther Head,27,28.9,0.403,3.2,7.9,1.4,3.9,1.1,1.5,3.3,0.4,2.9,2.7,1.1,0.1,1.5,2.1,8.8,32,48,11.2,0.072,0
Marvin Williams,7,24.7,0.443,3,6.7,0.2,0.7,2.4,3.2,4.8,1.5,3.3,0.8,0.6,0.3,1.1,2.9,8.5,25,54,12.2,0.069,0
Sean May,1,17.3,0.409,3,7.4,0,0.2,2.1,2.8,4.7,1.8,2.9,1,0.7,0.5,1.4,2.5,8.2,7,16,15.3,0.047,0
Rashad McCants,12,17.2,0.45,3.1,6.8,0.8,2.3,1,1.3,1.8,0.4,1.4,0.8,0.6,0.3,1.1,2.2,7.9,31,48,12.6,0.058,0
Ryan Gomes,33,22.6,0.487,2.8,5.8,0,0.1,1.8,2.4,4.9,1.7,3.2,1,0.6,0.1,0.9,1.4,7.6,26,35,14,0.108,0
Ike Diogu,14,14.9,0.524,2.5,4.8,0,0,2,2.4,3.3,1.4,1.9,0.4,0.2,0.4,1.1,2.4,7,26,43,15.8,0.123,0
Monta Ellis,3,18.1,0.415,2.7,6.5,0.6,1.7,0.9,1.2,2.1,0.4,1.7,1.6,0.7,0.2,1.2,1.4,6.8,16,33,11.1,0.028,0
Amir Johnson,0,13,0.7,2.3,3.3,0.7,1,1.3,1.3,1.3,1,0.3,1,0,0.7,1.3,2.3,6.7,1,2,20.3,0.208,0
Joey Graham,24,19.8,0.478,2.5,5.2,0.4,1.1,1.4,1.7,3.1,0.7,2.3,0.8,0.5,0.2,1.2,2.9,6.7,26,54,10.2,0.038,0
Jarrett Jack,4,20.2,0.442,2.4,5.4,0.3,1,1.6,2,2,0.2,1.8,2.8,0.5,0,1.3,1.7,6.7,20,59,12.3,0.035,0
Martell Webster,18,17.5,0.399,2.3,5.7,1.1,3,1,1.2,2.1,0.5,1.7,0.6,0.3,0.2,0.7,1.5,6.6,11,50,11.6,0.039,0
Francisco García,11,19.4,0.4,1.9,4.9,0.6,2,1.2,1.5,2.8,0.6,2.2,1.4,0.6,0.7,1.1,2,5.6,36,31,10.3,0.06,0
Gerald Green,3,11.7,0.478,2.1,4.3,0.2,0.6,0.9,1.2,1.3,0.3,1,0.6,0.4,0.1,0.7,1.3,5.2,13,19,13.1,0.064,0
Johan Petro,41,18.9,0.51,2.3,4.4,0,0,0.7,1.1,4.4,1.6,2.8,0.2,0.4,0.8,0.9,3.1,5.2,26,42,10.4,0.037,0
Hakim Warrick,2,10.6,0.443,1.5,3.4,0,0,1.1,1.7,2.1,0.6,1.5,0.4,0.2,0.3,0.8,1.7,4.1,42,26,11,0.053,0
Travis Diener,0,10.7,0.42,1.3,3,1.1,2.5,0.2,0.3,0.9,0.2,0.7,0.7,0.3,0,0.4,1,3.8,9,14,12.6,0.115,0
Daniel Ewing,5,14.7,0.38,1.5,3.9,0.3,1.2,0.5,0.7,1.3,0.3,0.9,1.3,0.6,0.1,0.9,1.3,3.8,39,27,7.6,0.017,0
Linas Kleiza,2,8.5,0.445,1.3,2.8,0,0.2,0.9,1.3,1.9,0.6,1.3,0.2,0.2,0.2,0.3,1.4,3.5,33,28,13.2,0.111,0
C.J. Miles,0,8.8,0.368,1.2,3.3,0.2,0.9,0.8,1,1.7,0.8,0.9,0.7,0.3,0.1,0.4,0.9,3.4,7,16,13.8,0.076,0
Wayne Simien ,2,9.6,0.483,1.3,2.8,0,0,0.7,0.8,2,0.9,1.2,0.2,0.3,0,0.6,1.6,3.4,26,17,11.5,0.096,0
Orien Greene,5,15.4,0.395,1.3,3.2,0.1,0.5,0.6,0.9,1.8,0.5,1.4,1.6,1,0.1,1.4,2.3,3.2,31,49,6.4,-0.013,0
Dion Thompson,0,4.3,0.44,1.1,2.5,0.4,1.1,0.2,0.2,1.1,0.4,0.7,0.1,0.3,0.1,0.2,0.6,2.8,8,2,22,0.146,0
Chris Taft,0,8.5,0.605,1.4,2.2,0,0,0.1,0.4,2.1,1.1,1,0.1,0.1,0.4,0.1,1.5,2.8,9,8,15.6,0.155,0
Brandon Bass,1,9.2,0.4,1,2.4,0,0,0.4,0.7,2.3,0.6,1.7,0.1,0.1,0.2,0.4,0.6,2.3,14,15,9.1,0.013,0
Jason Maxiell,0,6.1,0.426,0.9,2.1,0,0,0.5,1.6,1.1,0.5,0.6,0.1,0.2,0.2,0.4,0.5,2.3,20,6,8,-0.054,0
Andray Blatche,0,6,0.388,0.9,2.3,0.1,0.4,0.3,0.4,1.3,0.4,0.9,0.3,0.2,0.2,0.4,1.2,2.2,16,13,10.1,0.026,0
Robert Whaley,0,9.2,0.404,1,2.5,0,0,0.1,0.3,1.9,0.7,1.2,0.7,0.3,0.3,0.6,1.8,2.1,10,13,7.6,0.004,0
Ronny Turiaf,1,7,0.5,0.7,1.3,0,0,0.7,1.2,1.6,0.5,1.1,0.3,0.1,0.4,0.3,1.3,2,14,9,12.2,0.115,0
Louis Williams,0,4.8,0.442,0.8,1.7,0.1,0.3,0.3,0.4,0.6,0.1,0.5,0.3,0.2,0,0.4,0.4,1.9,14,16,9,-0.036,0
Alex Acker,0,7,0.25,0.8,3.2,0.2,1,0,0,1,0.2,0.8,0.8,0.2,0,0.8,0.8,1.8,3,2,-2.4,-0.23,0
Antoine Wright,0,9.5,0.358,0.7,2.1,0,0.4,0.3,0.6,0.8,0.2,0.6,0.3,0.1,0.1,0.5,1.1,1.8,24,15,0.7,-0.062,0
Lawrence Roberts,0,5.5,0.455,0.6,1.3,0,0.1,0.3,0.7,1.5,0.8,0.7,0.2,0.2,0.1,0.2,0.9,1.5,23,10,13.8,0.144,0
Von Wafer,0,4.6,0.158,0.4,2.4,0.1,1.1,0.4,0.5,0.5,0.3,0.2,0.3,0.2,0,0.1,0.8,1.3,6,10,-1.6,-0.174,0
Yaroslav Korolev,0,5.3,0.3,0.4,1.3,0.1,0.3,0.3,0.4,0.5,0.2,0.3,0.4,0.1,0,0.3,0.5,1.1,12,12,4.8,-0.013,0
Julius Hodge,0,2.4,0.385,0.4,0.9,0,0,0.2,0.6,0.5,0.4,0.1,0.4,0.1,0,0.6,0.5,0.9,7,7,4.2,-0.219,0
Martynas Andriuškevi?ius,0,1.5,0,0,0.2,0,0,0,0,0.7,0.2,0.5,0,0.3,0,0,0.2,0,1,5,15.5,0.155,0
Adam Morrison,23,29.8,0.376,4.6,12.1,1.1,3.3,1.5,2.2,2.9,0.7,2.3,2.1,0.4,0.1,1.7,2.3,11.8,30,48,7.9,-0.03,0
Andrea Bargnani,2,25.1,0.427,4.1,9.6,1.5,4.1,1.8,2.2,3.9,0.8,3.1,0.8,0.5,0.8,1.6,2.8,11.6,35,30,12.8,0.057,0
Rudy Gay,43,27,0.422,4.1,9.7,0.7,1.8,1.9,2.7,4.5,1.2,3.3,1.3,0.9,0.9,1.8,2.5,10.8,20,58,12.4,0.011,0
Randy Foye,12,22.9,0.434,3.7,8.4,0.8,2.3,2,2.3,2.7,0.6,2.1,2.8,0.6,0.3,1.9,2.2,10.1,32,50,14,0.058,0
James White,2,22.8,0.439,3,6.8,0.3,1.2,2,2.5,3.3,0.5,2.8,0.8,0.5,0.2,0.8,1.2,8.3,4,2,12.1,0.108,0
Craig Smith,5,18.7,0.531,3,5.6,0,0.1,1.4,2.3,5.1,1.8,3.3,0.6,0.6,0.2,0.9,2.7,7.4,32,50,15.7,0.121,0
Marcus Williams,2,16.6,0.395,2.6,6.7,0.6,2.1,0.9,1.1,2.1,0.4,1.7,3.3,0.4,0,1.8,1.2,6.8,39,38,11.5,-0.004,0
Rodney Carney,35,17.4,0.464,2.7,5.9,0.4,1.1,0.8,1.3,1.9,0.6,1.3,0.4,0.6,0.3,0.6,1.8,6.6,24,43,11.4,0.055,0
J. J. Redick,0,14.8,0.41,1.9,4.6,0.9,2.3,1.3,1.4,1.2,0.2,1,0.9,0.3,0,0.5,1.2,6,19,23,13,0.134,0
Shelden Williams,31,18.7,0.455,2,4.5,0,0,1.4,1.8,5.4,1.6,3.8,0.5,0.6,0.5,1.2,2.5,5.5,30,51,12.3,0.07,0
Tyrus Thomas,4,13.4,0.475,1.9,3.9,0,0,1.5,2.4,3.7,1.2,2.5,0.6,0.6,1.1,1.3,2.3,5.2,44,28,14.8,0.11,0
Renaldo Balkman,1,15.6,0.505,2,4,0.1,0.4,0.8,1.3,4.3,1.4,2.9,0.6,0.8,0.6,0.7,2.1,4.9,28,40,16.1,0.125,0
Ronnie Brewer,14,12.1,0.528,1.8,3.4,0,0.2,1,1.5,1.3,0.7,0.7,0.4,0.7,0.1,0.4,0.8,4.6,36,20,15.2,0.124,0
Daniel Gibson,16,16.5,0.424,1.6,3.9,0.9,2.1,0.5,0.7,1.5,0.5,1.1,1.2,0.4,0.1,0.7,1.6,4.6,33,27,9.4,0.098,0
Mardy Collins,9,14.9,0.382,1.7,4.4,0.3,0.9,0.9,1.6,2,0.5,1.5,1.6,0.6,0.1,1.1,1.4,4.5,19,33,9.2,0.002,0
Jordan Farmar,2,15.1,0.422,1.7,4.1,0.6,1.9,0.4,0.5,1.7,0.3,1.3,1.9,0.6,0.1,1,1.1,4.4,37,35,10.8,0.038,0
Alexander Johnson,19,12.8,0.538,1.5,2.9,0,0,1.3,2,3.1,0.8,2.2,0.3,0.4,0.6,0.8,2.3,4.4,15,44,13.2,0.083,0
Leon Powe,2,11.4,0.446,1.3,2.8,0,0,1.7,2.3,3.4,1.5,1.9,0.2,0.2,0.3,0.7,1.7,4.2,19,44,14.6,0.116,0
Josh Boone,0,11,0.579,1.6,2.8,0,0,0.9,1.7,2.9,1,1.8,0.2,0.2,0.3,0.5,1.5,4.2,33,28,14.6,0.122,0
Shawne Williams,3,12.1,0.469,1.6,3.5,0.4,1.1,0.2,0.4,1.8,0.7,1.1,0.5,0.1,0.2,0.5,1.5,3.9,19,27,9.7,0.063,0
Sergio Rodríguez,1,12.9,0.423,1.5,3.6,0.4,1.3,0.3,0.4,1.4,0.3,1.1,3.3,0.5,0,1.1,1.1,3.7,24,43,14.1,0.05,0
Thabo Sefolosha,4,12.2,0.426,1.5,3.6,0.2,0.6,0.3,0.6,2.2,0.5,1.7,0.8,0.5,0.2,0.8,1.4,3.6,42,29,8.5,0.047,0
Solomon Jones,8,11.5,0.508,1.1,2.2,0,0,1,1.3,2.3,0.8,1.5,0.2,0.2,0.7,0.4,2.1,3.3,20,38,12.3,0.117,0
Shannon Brown,5,8.8,0.378,1.2,3.2,0.3,1.1,0.4,0.6,0.9,0.3,0.7,0.4,0.3,0.1,0.6,1,3.2,16,7,7.5,0.015,0
Hilton Armstrong,5,11.3,0.544,1.2,2.2,0,0,0.7,1.2,2.7,1,1.6,0.2,0.2,0.5,0.6,1.4,3.1,28,28,12.2,0.091,0
Cedric Simmons,4,12.4,0.417,1.3,3.1,0,0,0.4,0.8,2.5,1,1.5,0.3,0.2,0.5,0.5,1.7,2.9,19,24,8,0.025,0
Hassan Adams,8,8.1,0.556,1.2,2.2,0,0,0.4,0.6,1.3,0.6,0.7,0.2,0.3,0.1,0.4,0.8,2.9,31,30,13,0.095,0
Quincy Douby,0,8.5,0.381,1.1,3,0.3,1.2,0.3,0.4,0.9,0.3,0.6,0.4,0.4,0.1,0.4,0.5,2.8,16,26,9,-0.006,0
David Noel,0,11.6,0.367,1,2.6,0.3,0.8,0.5,0.6,1.8,0.6,1.2,1,0.4,0.1,0.6,1.1,2.7,22,46,9,0.024,0
Bobby Jones,5,7.6,0.462,1,2.1,0,0.2,0.5,0.9,1.3,0.5,0.8,0.4,0.3,0,0.4,1.3,2.5,15,29,9.4,0.045,0
Ryan Hollins,0,6.9,0.556,0.7,1.3,0,0,0.9,1.5,1.1,0.4,0.7,0,0.1,0.3,0.6,1.5,2.4,8,19,8.5,0.04,0
Maurice Ager,1,6.7,0.314,0.7,2.2,0.2,0.5,0.6,1,0.7,0,0.6,0.2,0.1,0.1,0.5,0.8,2.2,26,6,2.9,-0.06,0
Patrick O'Bryant,0,7.4,0.313,0.6,2,0,0,0.7,1.1,1.3,0.4,0.9,0.6,0.4,0.5,0.5,1.6,1.9,4,12,7.3,-0.003,0
Dee Brown,0,9.2,0.327,0.7,2,0.1,0.6,0.5,0.8,0.8,0.2,0.7,1.7,0.4,0.1,0.6,1,1.9,29,20,8.6,0.024,0
Mouhamed Sene,3,6,0.367,0.6,1.8,0,0,0.6,1,1.6,0.6,1,0,0.1,0.4,0.4,1.2,1.9,5,23,8.5,-0.011,0
Will Blalock,0,11.9,0.3,0.6,2.1,0.1,0.4,0.4,0.4,1.1,0.4,0.6,1.2,0.4,0,0.9,0.6,1.8,8,6,4.5,-0.032,0
P. J. Tucker,0,4.9,0.5,0.6,1.3,0,0,0.5,0.8,1.4,0.6,0.7,0.2,0.1,0,0.4,0.7,1.8,5,12,12.8,0.085,0
Damir Markota,0,5.7,0.365,0.6,1.7,0.2,0.5,0.2,0.4,1,0.4,0.7,0.2,0.1,0,0.5,0.7,1.7,7,23,5,-0.07,0
